Headline,Category,Name,Country,Region,Continent,Site,Collected
Animal activist fatally shoots self at Brickdam station 3 h ago,regime_instability,Stabroek News,Guyana,South America,Latin America,https://www.stabroeknews.com/,20220314
Protesters seize London mansion linked to oligarch,regime_instability,Gulf News,UAE,Middle East,MENA,https://gulfnews.com/,20220314
Violent gang terrorises Swakopmund,organized_crime,The Namibian,Namibia,South Africa,Africa,https://www.namibian.com.na/,20220314
Ugandan soldiers shoot learner while quelling riot,military_conflict,Mail & Guardian,South Africa,South Africa,Africa,https://mg.co.za/,20220314
Three human smugglers arrested in Hungary,organized_crime,Budapest Times,Hungary,Eastern Europe,Europe,https://www.budapesttimes.hu/,20220314
"Budapest Mayor: Hungarian uprisings “always for peace, freedom”",regime_instability,Daily News Hungary,Hungary,Eastern Europe,Europe,https://dailynewshungary.com/,20220314
Terrorism: Nigeria will win —CDS Irabor,terrorism,Nigerian Tribune,Nigeria,West Africa,Africa,https://tribuneonlineng.com/,20220314
Egypt condemns 'coward terrorist attack' against Iraq's Erbil,terrorism,Egypt Today,Egypt,North Africa,MENA,https://www.egypttoday.com/Section/News/1,20220314
Why Putin invaded Ukraine,military_conflict,Nigerian Tribune,Nigeria,West Africa,Africa,https://tribuneonlineng.com/,20220314
Russian Airstrike near Lviv Kills 35,military_conflict,Albanian Daily News,Albania,Southern Europe,Europe,https://www.albaniandailynews.com/,20220314
Ukrainian troops attacked Donetsk and left at least 20 dead,military_conflict,�ltimas Noticias,Venezuela,South America,Latin America,https://en.ultimasnoticias.com.ve/,20220314
"UN, ICC warn Russia over possible war crimes in Ukraine",military_conflict,Buenos Aires Times,Argentina,South America,Latin America,https://www.batimes.com.ar/,20220314
America want dis war,military_conflict,Kaieteur News,Guyana,South America,Latin America,https://www.kaieteurnewsonline.com/,20220314
Al Shabab says killed six people in Kenya’s Lamu,terrorism,Mareeg,Somalia,East Africa,Africa,https://mareeg.com/news/somalia/,20220314
