Headline,Category,Name,Country,Region,Continent,Site,Collected
Serbian Activist Tried for Defacing Ratko Mladic Mural,regime_instability,Balkan Insight (Serbia),Serbia,Southern Europe,Europe,https://balkaninsight.com/balkan-transitional-justice-home/balkan-transitional-justice-serbia-news/,20220405
"Protesters arrested for hooting, harassing MPs: Minister",regime_instability,Daily Mirror,Sri Lanka,South Asia,Asia,https://www.dailymirror.lk/,20220405
Protesters arrested near Parliament released on bail,regime_instability,Daily Mirror,Sri Lanka,South Asia,Asia,https://www.dailymirror.lk/,20220405
"Protesters arrested for hooting, booing, harassing MPs: Prasanna",regime_instability,Daily Mirror,Sri Lanka,South Asia,Asia,https://www.dailymirror.lk/,20220405
Suspected drug cartel gunmen abducted two off-duty female soldiers,organized_crime,Mexico Daily Post,Mexico,North America,Latin America,https://mexicodailypost.com/,20220405
Al-Azhar deplores latest terrorist attack on mosques in Afghanistan,terrorism,Ahram Online,Egypt,North Africa,MENA,https://english.ahram.org.eg/Portal/1/Egypt.aspx,20220405
Egypt condemns terrorist attack against AU base in Somalia,terrorism,Ahram Online,Egypt,North Africa,MENA,https://english.ahram.org.eg/Portal/1/Egypt.aspx,20220405
Al-Azhar deplores terrorist attack on mosque in northern Afghanistan,terrorism,Ahram Online,Egypt,North Africa,MENA,https://english.ahram.org.eg/Portal/1/Egypt.aspx,20220405
Egypt strongly condemns latest IS terrorist attacks in Afghanistan,terrorism,Ahram Online,Egypt,North Africa,MENA,https://english.ahram.org.eg/Portal/1/Egypt.aspx,20220405
Russian army launches missile strike on Kramatorsk,military_conflict,Ukrinform,Ukraine,Eastern Europe,Europe,https://www.ukrinform.net/block-lastnews,20220405
Coast leaders gang up to fight Sonko bid for governor,organized_crime,The Standard,Kenya,East Africa,Africa,https://www.standardmedia.co.ke/,20220405
U.S. condemns Karachi suicide attack,terrorism,The Hindu,India,South Asia,Asia,https://www.thehindu.com/,20220405
